url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,Alternate names,Memory Card,USB,Ethernet,Processor,Graphics,Weight,Battery Type,Console Family,Launched,Wi-Fi,HDMI
https://gadgets.ndtv.com/sony-playstation-vita-12049,https://i.gadgets360cdn.com/products/large/1550244612_635_PS_VITA_OLED.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,Sony Playstation Vita (Black),PlayStation Vita,"₹ 18,000",19,16,0,0,16,68,,Handheld Console,,512MB,Cartridge,5-inches (OLED),PS Vita,Upto 64GB,,,Quad-core ARM Cortex-A9 MPCore,Quad-core PowerVR SGX543MP4+,260g,Li-ion,Sony PlayStation Vita/ PSP,February 2012,Yes,
https://gadgets.ndtv.com/sony-playstation-portable-12015,https://i.gadgets360cdn.com/products/large/1550032341_635_psp_original_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,,PlayStation Portable,,,0,0,0,0,0,None,Handheld Console,,32MB,Disc,4.3 inches,,up to 32GB,1 USB 2.0 port,No,333MHz MIPS R4000,166MHz GPU,280g,Li-ion,Sony PlayStation Vita/ PSP,March 2005,Yes,No
https://gadgets.ndtv.com/nintendo-entertainment-system-12043,https://i.gadgets360cdn.com/products/large/1550074288_635_NES_Console.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,Entertainment System,,,0,0,0,0,0,No,Home Console,"RF, RCA, RGB",1kB,Cartridge,,NES,No,No,No,Ricoh 2A03 8-bit processor @ 1.79MHz,No,1.36Kg,,Nintendo SNES/ NES,October 1985,No,No
https://gadgets.ndtv.com/sony-psp-slim-and-lite-12016,https://i.gadgets360cdn.com/products/large/1550050093_635_PSP_SLIM_AND_LITE.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,,PSP Slim and Lite,,,0,0,0,0,0,None,Handheld Console,,64MB,Disc,4.3 inches,,up to 32GB,1 USB 2.0 port,No,333MHz MIPS R4000,166MHz GPU,189g,Li-ion,Sony PlayStation Vita/ PSP,September 2007,Yes,No
https://gadgets.ndtv.com/sony-playstation-vita-12049,https://i.gadgets360cdn.com/products/large/1550244612_635_PS_VITA_OLED.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,Sony Playstation Vita (Gold),PlayStation Vita,"₹ 16,800",19,16,0,0,16,68,,Handheld Console,,512MB,Cartridge,5-inches (OLED),PS Vita,Upto 64GB,,,Quad-core ARM Cortex-A9 MPCore,Quad-core PowerVR SGX543MP4+,260g,Li-ion,Sony PlayStation Vita/ PSP,February 2012,Yes,
https://gadgets.ndtv.com/nintendo-game-boy-advance-12025,https://i.gadgets360cdn.com/products/large/1550061163_635_gameboy_advance_nintendo.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,Game Boy Advance,,,0,0,0,0,0,No,Handheld Console,No,,Cartridge,2.9-inches,,No,No,No,ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz,No,140g,2x AA batteries,Nintendo Game Boy,June 2001,No,No
https://gadgets.ndtv.com/microsoft-xbox-12010,https://i.gadgets360cdn.com/products/large/1549994296_635_xbox_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,,Xbox,,,0,0,0,0,0,8GB,Home Console,"Composite video, S-Video, Component video, SCART, Optical out, Stereo RCA analogue audio",64MB,Disc,,,8MB,4 proprietary USB 1.1 ports,Yes,733MHz Intel Pentium III,233MHz Nvidia NV2A,3.86kg,,Microsoft Xbox,November 2001,No,Yes
https://gadgets.ndtv.com/sony-playstation-2-11999,https://i.gadgets360cdn.com/products/large/1549531998_635_ps2_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,,PlayStation 2,,,0,0,0,0,0,None,Home Console,"Composite video (S-Video, SCART, VGA); Component video (D-Terminal)",32MB,Disc,,,up to 8MB,2 USB 1.1 ports,Yes,Emotion Engine CPU,150MHz Graphics Synthesizer,600g,,Sony PlayStation 2,October 2000,No,No
https://gadgets.ndtv.com/sega-saturn-12013,https://i.gadgets360cdn.com/products/large/1549996921_635_sega_saturn_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sega,,Saturn,,,0,0,0,0,0,None,Home Console,RCA,2MB,Disc,,,62KB cartridge,No,No,28.1MHz Hitachi SH-2,VDP1 and VDP2,1.66kg,,Sega Saturn/ DreamCast,May 1995,No,No
https://gadgets.ndtv.com/sega-dreamcast-12008,https://i.gadgets360cdn.com/products/large/1549992462_635_sega_dreamcast_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sega,,Dreamcast,,,0,0,0,0,0,None,Home Console,"RF modulator, Composite video, S-video, RGB SCART, VGA",16MB,Disc,,,128KB VMU,No,No,200MHz Hitachi SH-4 32-bit,100MHz PowerVR2,1.5kg,,Sega Saturn/ DreamCast,September 1999,No,No
